Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
Малиновская Елена Михайловна: Наперекор канонам,1 869 ₽,Елена Малиновская,Миры Елены Малиновской,Русское фэнтези,Нет данных,978-5-517-05460-9,16+,2022,432,Нет данных,Нет данных,155x215  мм,0.63  кг
Малиновская Елена Михайловна: Тени,1 699 ₽,Елена Малиновская,Миры Елены Малиновской,Русское фэнтези,Нет данных,978-5-517-05623-8,16+,2022,382,Нет данных,Нет данных,155x215  мм,0.57  кг
Вешнева Ольга: Мой мурчащий господин,1 232 ₽,Ольга Вешнева,Нет данных,Русское фэнтези,Нет данных,978-5-517-09009-6,16+,2022,206,Нет данных,Нет данных,155x215  мм,0.36  кг
Цвик Катерина: Лейла. Навстречу переменам,1 784 ₽,Катерина Цвик,Лейла,Русское фэнтези,Нет данных,978-5-517-08376-0,16+,2022,370,Нет данных,Нет данных,155x215  мм,0.56  кг
Цвик Катерина: Лейла. Шанс за шанс,1 444 ₽,Катерина Цвик,Лейла,Русское фэнтези,Нет данных,978-5-517-08377-7,16+,2022,264,Нет данных,Нет данных,155x215  мм,0.43  кг
Василевская Алена: Механическое сердце,1 614 ₽,Алена Василевская,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06346-5,16+,2022,332,Твёрдый переплёт,Нет данных,153x217  мм,0.52  кг
Чернышова Дарья: Близнецы. Ч. 2,1 699 ₽,Дарья Чернышова,Ветви,Русское фэнтези,Нет данных,978-5-517-08870-3,18+,2022,410,Нет данных,Нет данных,155x215  мм,0.52  кг
Закалюжная Людмила: Невеста механического принца,1 189 ₽,Людмила Закалюжная,Нет данных,Русское фэнтези,RUGRAM,978-5-517-08295-4,16+,2022,226,Твёрдый переплёт,Нет данных,152x216  мм,0.38  кг
Найденко Анна: За гранью сновидений,1 274 ₽,Анна Найденко,За гранью сновидений,Русское фэнтези,RUGRAM,978-5-517-08872-7,18+,2022,264,Твёрдый переплёт,Нет данных,152x216  мм,0.43  кг
"Комарова Марина Сергеевна: Янтарь-сердце, или Со змеем на  плече",1 444 ₽,Марина Комарова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-08194-0,16+,2022,276,Твёрдый переплёт,Нет данных,152x216  мм,0.45  кг
Сиалана Анастасия: ВалерьЯна для мертвеца,1 614 ₽,Сиалана Анастасия,Нет данных,Русское фэнтези,RUGRAM,978-5-517-07055-5,16+,2022,336,Твёрдый переплёт,Нет данных,152x216  мм,0.52  кг
Рэй Даниэль Зеа: Пробуждение,1 869 ₽,Даниэль Зеа Рэй,Нет данных,Русское фэнтези,Нет данных,978-5-517-08383-8,18+,2022,512,Твёрдый переплёт,Нет данных,153x217  мм,0.62  кг
Евтеева Екатерина: Говорящая с демонами,1 104 ₽,Екатерина Евтеева,Демоны и охотники,Русское фэнтези,RUGRAM,978-5-517-08947-2,16+,2022,246,Твёрдый переплёт,Нет данных,153x218  мм,0.41  кг
Тейт Эллис: Королевство Эшлайн. Лжекороль,1 359 ₽,Эллис Тейт,Королевство Эшлайн,Русское фэнтези,RUGRAM,978-5-517-09034-8,16+,2022,278,Твёрдый переплёт,Нет данных,152x215  мм,0.44  кг
Соболянская Елизавета Владимировна: Катарисса,2 039 ₽,Елизавета Соболянская,Клуб «Огненный дракон»,Русское фэнтези,RUGRAM,978-5-517-08391-3,18+,2022,494,Твёрдый переплёт,Нет данных,153x217  мм,0.71  кг
Вешнева Ольга: Ловцы небесных алмазов,1 444 ₽,Ольга Вешнева,Голодные тени,Русское фэнтези,Нет данных,978-5-517-08380-7,16+,2022,294,Нет данных,Нет данных,155x215  мм,0.41  кг
Снегирева Ирина: Брачный договор с незнакомцем,1 359 ₽,Ирина Снегирева,Нет данных,Русское фэнтези,RUGRAM,978-5-517-08088-2,16+,2022,250,Твёрдый переплёт,Нет данных,153x217  мм,0.41  кг
МакКлайн Сьюзен Рэй: Из могил и костей,1 019 ₽,Сьюзен Рэй МакКлайн,Живые и мертвые,Русское фэнтези,RUGRAM,978-5-517-10052-8,18+,2023,182,Твёрдый переплёт,Нет данных,153x217  мм,0.33  кг
Жданова Алиса: Сияние полуночи,620 ₽,Алиса Жданова,Сказания о магии Поднебесной,Русское фэнтези,"АСТ, Жанры",978-5-17-156771-2,16+,2023,416,Твёрдый переплёт,газетная,130x206  мм,0.41  кг
Горбов Александр Владимирович: Сам себе властелин. Наследник для Калькуары,594 ₽,Александр Горбов,Вот это я попал!.. Лучшая современная проза о попаданцах,Русское фэнтези,"АСТ, Жанры",978-5-17-159004-8,16+,2023,320,Твёрдый переплёт,газетная,133x207  мм,0.28  кг
Булычев Кир: Поступили в продажу золотые рыбки. Том 1,832 ₽,Кир Булычев,Великий Гусляр,Русское фэнтези,Время,978-5-9691-2372-4,Нет данных,2023,672,Твёрдый переплёт,Нет данных,138x207  мм,0.61  кг
Булычев Кир: Глубокоуважаемый микроб. Том 2,849 ₽,Кир Булычев,Великий Гусляр,Русское фэнтези,Время,978-5-9691-2373-1,Нет данных,2023,704,Твёрдый переплёт,Нет данных,140x207  мм,0.64  кг
Булычев Кир: Жизнь за трицератопса. Том 3,892 ₽,Кир Булычев,Великий Гусляр,Русское фэнтези,Время,978-5-9691-2374-8,Нет данных,2023,752,Твёрдый переплёт,Нет данных,140x207  мм,0.68  кг
Мамаева Надежда: В военную академию требуется...,1 359 ₽,Надежда Мамаева,На крыльях Надежды,Русское фэнтези,RUGRAM,978-5-517-10444-1,16+,2023,282,Твёрдый переплёт,Нет данных,153x217  мм,0.45  кг
Демина Карина: Почти цивилизованный Восток,620 ₽,Карина Демина,Идеальное фэнтези. Романы Карины Деминой,Русское фэнтези,"АСТ, Жанры",978-5-17-155648-8,16+,2023,416,Твёрдый переплёт,газетная,133x207  мм,0.41  кг
Лисенкова Ольга: Ключ,620 ₽,Ольга Лисенкова,NoSugar. Кромешники и люди,Русское фэнтези,"АСТ, NoSugar Books",978-5-17-159457-2,16+,2023,416,Твёрдый переплёт,газетная,129x206  мм,0.40  кг
Виндера. Золотая клетка,535 ₽,Нет данных,NoSugar. Виндера,Русское фэнтези,"АСТ, NoSugar Books",978-5-17-158411-5,12+,2023,384,Твёрдый переплёт,газетная,130x205  мм,0.38  кг
Васильев Владимир Николаевич: Ведьмак из Большого Киева. Матадор: рассказы и повести,999 ₽,Владимир Васильев,Капитаны русской фантастики,Русское фэнтези,Феникс,978-5-222-39917-0,16+,2024,197,Твёрдый переплёт,Нет данных,170x243  мм,0.39  кг
